epoch,train_loss,train_tok_acc,val_loss,val_tok_acc,val_seq_acc,val_tok_acc_decode,lr,tf_ratio,time
epoch,train_loss,train_tok_acc,val_loss,val_tok_acc,val_seq_acc,val_tok_acc_decode,lr,tf_ratio,time
epoch,train_loss,train_tok_acc,val_loss,val_tok_acc,val_seq_acc,val_tok_acc_decode,lr,tf_ratio,time
65,1.352699,0.870069,1.133604,0.792564,0.573191,0.784018,0.00053211,0.5805,278.6
66,1.345223,0.871314,1.076026,0.800975,0.578947,0.790746,0.00052361,0.5776,275.7
67,1.343407,0.872216,1.054347,0.804897,0.573191,0.794110,0.00051504,0.5747,274.6
68,1.325022,0.876965,1.112088,0.798704,0.574013,0.785871,0.00050641,0.5718,275.1
69,1.330694,0.874959,1.059669,0.806165,0.587171,0.798693,0.00049774,0.5689,273.6
70,1.317510,0.878916,1.039698,0.808887,0.574013,0.797913,0.00048901,0.5661,276.0
71,1.321767,0.877787,1.088487,0.802151,0.575658,0.792794,0.00048024,0.5633,279.4
72,1.310217,0.880744,1.050184,0.808038,0.586349,0.797475,0.00047142,0.5604,278.4
73,1.302816,0.882198,1.055732,0.805668,0.580592,0.799571,0.00046257,0.5576,277.1
74,1.298628,0.883908,1.050416,0.808115,0.591283,0.799961,0.00045369,0.5548,275.7
75,1.293322,0.884533,1.053096,0.809633,0.596217,0.798693,0.00044479,0.5521,276.8
76,1.293463,0.885352,1.042411,0.811633,0.599507,0.802740,0.00043586,0.5493,275.8
77,1.294411,0.885097,1.062307,0.807517,0.583882,0.795329,0.00042691,0.5466,277.5
78,1.290384,0.887193,1.069025,0.806676,0.592928,0.797670,0.00041795,0.5438,276.6
79,1.283679,0.888165,1.011572,0.812512,0.611020,0.802301,0.00040898,0.5411,276.4
80,1.270675,0.890220,1.073273,0.807031,0.610197,0.797231,0.00040000,0.5384,293.6
81,1.264064,0.893161,0.982342,0.821981,0.606908,0.813710,0.00039102,0.5357,312.0
82,1.262604,0.893804,1.028811,0.815394,0.600329,0.805860,0.00038205,0.5330,298.6
83,1.253829,0.895887,1.034977,0.814696,0.613487,0.807177,0.00037309,0.5304,301.5
84,1.259388,0.894964,0.966810,0.821866,0.615132,0.814051,0.00036414,0.5277,306.1
85,1.260456,0.895495,0.973512,0.824433,0.611842,0.815075,0.00035521,0.5251,304.2
86,1.245273,0.897622,0.983326,0.822489,0.599507,0.814197,0.00034631,0.5225,295.5
87,1.247482,0.897297,0.965101,0.824865,0.615954,0.816050,0.00033743,0.5198,296.4
88,1.245124,0.897935,0.944978,0.829738,0.630757,0.822047,0.00032858,0.5172,293.3
89,1.238872,0.899056,0.942893,0.827687,0.626645,0.820730,0.00031976,0.5147,293.6
90,1.236850,0.900817,0.962205,0.828220,0.621711,0.819902,0.00031099,0.5121,294.8
91,1.224350,0.904222,0.943236,0.828972,0.628289,0.819024,0.00030226,0.5095,296.1
92,1.233745,0.900464,0.937122,0.831420,0.631579,0.824143,0.00029359,0.5070,295.6
93,1.227058,0.903057,0.972802,0.825863,0.645559,0.819804,0.00028496,0.5044,296.2
94,1.210168,0.907810,0.977953,0.825925,0.634046,0.818049,0.00027639,0.5019,295.1
95,1.210588,0.907436,0.898170,0.837375,0.625000,0.830676,0.00026789,0.4994,292.8
96,1.212106,0.907774,0.908519,0.836812,0.635691,0.828239,0.00025945,0.4969,293.6
97,1.210454,0.907212,0.949344,0.831544,0.634046,0.825069,0.00025108,0.4944,291.8
98,1.203742,0.910623,0.913363,0.834635,0.632401,0.828677,0.00024279,0.4920,304.4
