epoch,train_loss,train_tok_acc,val_loss,val_tok_acc,val_seq_acc_greedy,val_tok_acc_greedy,lr,tf_ratio,time
43,1.356876,0.857298,0.969375,0.803678,0.562500,0.796646,0.00083990,0.4590,206.1
44,1.343893,0.860367,0.959647,0.804024,0.592105,0.795573,0.00083187,0.4544,214.7
45,1.324702,0.866288,1.030367,0.796931,0.580592,0.787236,0.00082369,0.4498,213.5
46,1.343241,0.860077,1.082011,0.783875,0.579770,0.772902,0.00081536,0.4453,201.0
47,1.328118,0.865620,0.967703,0.804027,0.580592,0.798937,0.00080688,0.4409,207.3
48,1.317237,0.868385,0.967938,0.806919,0.585526,0.798206,0.00079826,0.4365,218.4
49,1.320038,0.867464,0.990567,0.800818,0.587171,0.790210,0.00078949,0.4321,219.4
50,1.307686,0.870343,0.935856,0.813619,0.609375,0.803910,0.00078059,0.4278,213.1
51,1.294051,0.874418,0.925681,0.811262,0.605263,0.803130,0.00077156,0.4235,186.2
52,1.298351,0.873323,0.926364,0.815686,0.603618,0.808639,0.00076240,0.4193,171.5
53,1.292917,0.874642,0.920847,0.813498,0.615954,0.805031,0.00075312,0.4151,171.8
54,1.289781,0.875423,0.886722,0.823251,0.618421,0.814782,0.00074372,0.4109,171.7
55,1.272000,0.880660,0.886882,0.819696,0.611020,0.814587,0.00073420,0.4068,170.7
56,1.272718,0.880079,0.918172,0.817177,0.615132,0.808883,0.00072458,0.4027,171.1
57,1.272994,0.880361,0.831420,0.830011,0.616776,0.824046,0.00071485,0.4000,172.4
58,1.251274,0.885779,0.936232,0.813351,0.610197,0.804739,0.00070502,0.4000,171.2
59,1.261529,0.883634,0.894936,0.823217,0.618421,0.813953,0.00069509,0.4000,171.1
60,1.243334,0.888793,0.894230,0.824053,0.627467,0.817756,0.00068507,0.4000,157.9
61,1.247279,0.887209,0.890186,0.824574,0.614309,0.817708,0.00067496,0.4000,156.4
62,1.234065,0.891430,0.858106,0.830920,0.631579,0.823558,0.00066477,0.4000,158.7
63,1.224422,0.892888,0.896182,0.825418,0.627467,0.818634,0.00065451,0.4000,160.0
64,1.229685,0.892191,0.819283,0.837167,0.622533,0.832188,0.00064417,0.4000,160.9
65,1.214279,0.895921,0.808606,0.841071,0.636513,0.834479,0.00063376,0.4000,157.6
66,1.200450,0.900038,0.859151,0.835003,0.636513,0.826630,0.00062330,0.4000,157.9
67,1.206436,0.898245,0.866595,0.832814,0.627467,0.825655,0.00061277,0.4000,158.5
68,1.203695,0.899861,0.872035,0.833395,0.634046,0.824826,0.00060219,0.4000,159.7
69,1.198223,0.900582,0.853592,0.834443,0.637336,0.826093,0.00059156,0.4000,159.0
70,1.176652,0.906511,0.852192,0.833630,0.630757,0.827800,0.00058089,0.4000,159.9
71,1.174818,0.907247,0.896710,0.827574,0.629934,0.818049,0.00057018,0.4000,158.8
72,1.175753,0.906496,0.818134,0.843957,0.646382,0.836868,0.00055944,0.4000,157.9
73,1.166339,0.909098,0.830822,0.839377,0.638158,0.831603,0.00054867,0.4000,155.4
74,1.159717,0.911410,0.828331,0.841818,0.639803,0.835649,0.00053788,0.4000,168.5
75,1.145864,0.916411,0.809695,0.846061,0.639803,0.836722,0.00052707,0.4000,175.4
76,1.147062,0.914788,0.851227,0.836405,0.641447,0.829262,0.00051625,0.4000,171.6
77,1.141579,0.915903,0.880161,0.833649,0.643914,0.828043,0.00050542,0.4000,174.3
78,1.144353,0.915483,0.893632,0.831098,0.632401,0.822339,0.00049458,0.4000,177.0
79,1.129938,0.919588,0.824547,0.845817,0.645559,0.838672,0.00048375,0.4000,174.3
80,1.127750,0.920171,0.797472,0.851314,0.662829,0.843840,0.00047293,0.4000,175.9
